id;name;county;address
1;Secured productize;schemas;calculate program
2;Ghana Games magnetic;Savings Account cross-platform Colombia;virtual
3;e-enable feed;Wisconsin Frozen Forward;connecting
4;cross-platform;index bricks-and-clicks Secured;tangible e-markets Bike
5;Representative Car Granite;compressing;Investor
6;pink;Refined;Delaware Diverse Northern Mariana Islands
7;SAS Sports Licensed;Forward Refined Frozen Cheese Mali;Checking Account analyzer Licensed Fresh Salad
8;open-source help-desk;Cambridgeshire;Illinois Business-focused
9;RAM Money Market Account;Algeria Austria solutions;invoice
10;Soft Tactics redundant;Martinique turn-key Licensed;payment Bedfordshire JBOD
